# {"t_start": 1687017264.059135, "env_id": "Ant-v2"} 
r,l,t
-2496.666667,1000,98.392718
-96.596487,29,98.420783
-163.712466,47,98.461893
-59.64459,24,98.483546
-257.829161,103,98.576829
-56.855617,21,98.596567
-95.040983,48,98.640371
-2531.048572,1000,99.552001
-79.017338,31,99.580108
-106.125832,76,99.648871
-2622.276211,1000,100.56625
-251.766534,95,100.651236
-35.57073,16,100.666393
-79.588664,30,100.693365
-25.434442,13,100.705269
-196.0802,77,100.773914
-76.116917,41,100.811893
-591.07693,213,101.002803
-80.112038,24,101.025327
-57.082331,36,101.058102
-54.367884,21,101.077656
-150.909414,50,101.12357
-147.105756,54,101.17007
-80.566173,43,101.209446
-417.94234,195,101.391244
-30.9697,18,101.411305
-113.105353,23,101.436922
-223.580398,87,101.532385
-34.24652,13,101.547938
-154.970127,65,101.617265
-167.922661,67,101.691989
-130.733652,52,101.751246
-370.203169,155,101.925892
-29.235914,14,101.94194
-155.406081,58,102.006085
-48.404879,19,102.028183
-105.129478,31,102.061279
-106.319234,43,102.1088
-154.623581,47,102.161255
-72.083528,34,102.20003
-134.575304,36,102.239591
-45.686286,27,102.270388
-195.379815,73,102.352434
-66.825164,28,102.386707
-69.618313,26,102.4183
-2570.890328,1000,103.529315
-43.767119,11,103.542514
-43.362361,27,103.572661
-122.695988,44,103.6209
-54.334582,18,103.641053
-45.063619,20,103.663581
-64.377333,24,103.689766
-89.328805,20,103.71178
-313.004394,105,103.826713
-40.221427,19,103.847715
-2497.076016,1000,104.969161
-63.127006,24,104.995826
-45.116994,12,105.009589
-354.383118,158,105.182273
-38.764838,17,105.200795
-512.027246,193,105.419005
-103.728947,42,105.464468
-119.266539,37,105.505809
-117.75804,43,105.552929
-151.879088,70,105.629863
-53.466096,17,105.648359
-100.034919,64,105.718389
-349.622053,122,105.852194
-84.28747,43,105.898812
-321.608149,112,106.020784
-53.774489,17,106.040401
-50.642976,23,106.065722
-67.487806,33,106.100646
-105.289881,52,106.15693
